Date&Time,GHI,DHI,DNI,GTI,Temperature,GTI Loss,Irradiance Shading Loss,IAM Loss,Soiling and Snow Loss,Nominal Energy,Irradiance Level Loss,Shading Electrical Loss,Temperature Loss,Module Quality Loss,Optimizer Max Input Current Loss,Yield Factor Loss,Optimizer Loss,Rear Side Shading Electrical Loss,LID Loss,Ohmic Loss,String Clipping Loss,Array Energy,PV Inverter Efficiency Loss,AC-coupled Inverter Efficiency Loss,Clipping Loss,System Unavailability Loss,Export Limitation Loss,Battery charge,Battery Discharge,Battery State Of Energy,Inverter Output,DC Inverter Output,AC Inverter Output,Consumption,Self-consumption,Imported,Exported,Performance Ratio,ExportedPrice
,W/m^2,W/m^2,W/m^2,W/m^2,C,W/m^2,W/m^2,W/m^2,W/m^2,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,,EUR/kWh
02-Jan 01:00:00,0.0,0.0,0.0,0.0,4.234807216364811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,816.0620979269274,0.0,816.0620979269274,0.0,0.0,0.08,
02-Jan 02:00:00,0.0,0.0,0.0,0.0,4.2975224568268215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,816.0620979269274,0.0,816.0620979269274,0.0,0.0,0.08,
02-Jan 03:00:00,0.0,0.0,0.0,0.0,4.360237697288833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,816.0620979269274,0.0,816.0620979269274,0.0,0.0,0.08,
02-Jan 04:00:00,0.0,0.0,0.0,0.0,4.422952937750843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,964.4370248227324,0.0,964.4370248227324,0.0,0.0,0.08,
02-Jan 05:00:00,0.0,0.0,0.0,0.0,4.485668178212854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,1224.0931468903912,0.0,1224.0931468903912,0.0,0.0,0.08,
02-Jan 06:00:00,0.0,0.0,0.0,0.0,4.548383418674865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,1595.0304641299035,0.0,1595.0304641299035,0.0,0.0,0.08,
02-Jan 07:00:00,0.0,0.0,0.0,0.0,4.611098659136875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,2003.0615130933675,0.0,2003.0615130933675,0.0,0.0,0.08,
02-Jan 08:00:00,0.8346523577423396,0.8346523577423396,0.0,0.0,4.673813899598886,0.8346523577423396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,2262.717635161026,0.0,2262.717635161026,0.0,0.0,0.08,
02-Jan 09:00:00,45.14309450276577,30.23816901800603,136.56508195927745,120.22391508430398,6.04390137196908,-75.0808205815382,9.41429962056649,5.307515820048376,0.0,864.0621960818138,56.358128405055965,76.38848840497252,-44.83386918806147,-2.1176920795186054,0.0,0.0,5.309531515074461,0.0,0.0,1.0881341717467643,0.0,771.8694748525443,32.23595423598951,0.0,0.0,0.0,0.0,0.0,0.0,880.0,739.6335206165547,739.6335206165547,0.0,2225.623903437075,739.6335206165547,1485.9903828205204,0.0,0.751176830273753,0.08,
02-Jan 10:00:00,53.84093755391359,53.84093755391359,0.0,48.33895053141487,7.338173702124641,5.501987022498717,2.7946900177988927,1.3192360007405617,0.0,362.2029507604496,50.33279593451759,-3.552713678800501E-15,-18.860018269419264,-0.8988890148375284,0.0,0.0,3.5345716944910848,0.0,0.0,0.1960357879290272,0.0,327.8984546277688,27.618323638522767,0.0,0.0,0.0,0.0,0.0,0.0,880.0,300.2801309892461,300.2801309892461,0.0,1595.0304641299035,300.2801309892461,1294.7503331406574,0.0,0.7584829878037169,0.08,
02-Jan 11:00:00,135.37686028027878,87.40258236002842,174.51339350843938,250.13772585148104,8.485011053555818,-114.76086557120226,11.884671884664908,2.918214057346554,0.0,1927.3923388585558,49.99096989931976,208.50652397822836,-53.799438033745204,-4.70279986866335,0.0,0.0,10.875130821293368,0.0,0.0,5.366451345417707,0.0,1711.1555007167046,37.44269814161265,0.0,0.0,0.0,0.0,449.6196556846984,0.0,1329.6196556846985,1224.0931468903937,1224.0931468903937,0.0,1224.0931468903912,1224.0931468903912,0.0,2.5011104298755527E-12,0.5975190204956426,0.08,
02-Jan 12:00:00,168.52233405349108,99.24763259181812,229.54846642906955,323.00625922239806,9.420952049781743,-154.48392516890698,10.025387905815531,2.8387213959500452,0.0,2540.0642078499795,42.15099987188468,151.01904904401871,-39.648887395261255,-6.515010318595349,0.0,0.0,15.079290360630829,0.0,0.0,10.299329553365977,0.0,2367.6794367339357,34.22632339122851,0.0,0.0,0.0,0.0,1443.2035519678757,0.0,2772.823207652574,890.2495613748315,890.2495613748315,0.0,890.24956137483,890.2495613748298,2.2737367544323206E-13,1.7053025658242404E-12,0.3365249708098208,0.08,
02-Jan 13:00:00,194.09418774619044,82.84118469659003,386.27582505541477,449.7551121590351,10.094205472238379,-255.66092441284465,7.93879912471456,2.8590604990734976,0.0,3595.059898263673,14.8613412107769,0.0,8.91884195069739,-9.753590642170872,0.0,0.0,20.972721352000917,0.0,0.0,23.08427933048634,0.0,3536.9763050618826,35.20789115074214,0.0,0.0,0.0,0.0,2537.331389088409,0.0,5310.154596740984,964.4370248227319,964.4370248227319,0.0,964.4370248227324,964.4370248227319,4.547473508864641E-13,0.0,0.26182688038222357,0.08,
